name,city,state,country
"Flourish Aviation Technology Co., Ltd","SHENZHEN","","People's Republic of China"
"FLY MERLIN AEROSPACE LLC-FZ","DUBAI","","United Arab Emirates"
"Fly Rite USA, Inc.","St. Louis Park","MN","UNITED STATES"
"FLYCRAFT SG PTE LTD","SINGAPORE","","SINGAPORE"
"FLYDART AERO FZE","Sharjah","","United Arab Emirates"
"FLYLINE AEROSPACE LLC","MIAMI","FL","United States"
"FLYOPS AEROSPARES LLC.","Dubai","","United Arab Emirates"
"Flysab Solutions LLC","Orlando","FL","UNITED STATES"
"Focused Air Sales, LLC","Miami","FL","United States"
"Format Aerospace, Inc.","Wichita","KS","UNITED STATES"
"Fourwinds Aviation, LLC","St. Augustine","FL","UNITED STATES"
"FTS Group GmbH","Koeln","","Germany"
"Fusion Aviation Limited","Pulborough","We","UNITED KINGDOM"
"FYRNAIR Worldwide Services LLC","Simi Valley","CA","UNITED STATES"
"G & H Aerospace Inc.","Scottsdale","AZ","UNITED STATES"
"G F A LOGISTICS DWC-LLC","Dubai","Se","United Arab Emirates"
"GA Telesis, LLC","Fort Lauderdale","FL","UNITED STATES"
"Galaxy Aviation Corp.","Havertown","PA","UNITED STATES"
"GAS Global Aerotech Support Corp.","Miami Beach","FL","United States"
"GE Aviation Materials, Inc.","Euless","TX","UNITED STATES"
"Gemini Aviation Inc","Toronto","ON","Canada"
"GFA.AERO","Al-Jazirah, Ras Al Khaimah","","UNITED ARAB EMIRATES"
"GLOBAL AERO FZE","SHARJAH","","United Arab Emirates"
"Global Airparts Direct, Inc.","Dana Point","CA","United States"
"Global Airtech","Valencia","CA","UNITED STATES"
"Global Airways","Hialeah","FL","UNITED STATES"
"Global Aviation Company","Norcross","GA","UNITED STATES"
"Global Aviation Solutions","Amman","","Jordan"
"GLOBAL BUSINESS LOGISTICS INC d/b/a GBL INC","Miami","FL","United States"
"GLOBAL MENA AEROSPACE","Casablanca","","Morocco"
"Global Parts Support, Inc. (GPS)","Fort Lauderdale","FL","UNITED STATES"
"Global Turbine Parts","Jupiter","FL","UNITED STATES"
"GMAir, Inc.","Doral","FL","UNITED STATES"
"GMDC, Inc.","Santa Ana","CA","United States"
"GME Aviation Services FZE","Sharjah","","United Arab Emirates"
"GoAero, LLC","Greensboro","NC","UNITED STATES"
"GOAL Aviation Ltd.","Rybi","","Czech Republic"
"Golden Eagle International.","Ontario","CA","UNITED STATES"
"Golden Eagle International....","FONTANA","CA","United States"
"Golden Eagle International....","FONTANA","CA","United States"
"GOLDEN SHIELD Corporation","Addison","TX","United States"
"Goodman AerSolutions","Incheon","Se","Korea, Republic Of"
"Green Vision Aerospace","Johannesburg","","South Africa"
"Green Worldwide","Decatur","GA","United States"
"Griffin Core Solutions","Madrid","","Spain"
"Grove Aviation Services","Okeechobee","FL","United States"
"Growth Industries, Inc.","Grandview","MO","United States"
"Guangzhou Hangrun Aero-Tech Co.,Ltd","Guangzhou, Guangdong","","CHINA"
"Guangzhou Hangyu Aviation Equipment Co., Ltd","Guangzhou","","People's Republic of China"
"GV Aerospace","Beggs","OK","UNITED STATES"
"HAB Services, LLC","Plain City","OH","United States"
"Hainan BoBo Tianda Trading Co.,Ltd","Hainan","","CHINA"
"Hainan Lockhalo International Trading Co., Ltd","Chengdu","","PEOPLE'S REPUBLIC OF CHINA"
"HANGZHOU PENGKUO TECHNOLOGY CO., LTD","Hangzhou City, Zhejiang","","CHINA"
"Hansair Logistics, Inc.","Lake Forest","CA","UNITED STATES"
"HANVIET SERVICES AND TRADING JOINT STOCK COMPANY","Ha Noi","","VIETNAM"
"Hartford Aviation Group, Inc.","Hartford","CT","UNITED STATES"
"Hausen Aviation Technology Hong Kong Co., Limited","HONG KONG","","PEOPLE'S REPUBLIC OF CHINA"
"Hausen Aviation Technology Hong Kong Co., Limited","Hong Kong","","China"
"Hawaiian Airlines","Honolulu","HI","UNITED STATES"
"Hawk Aeromat Limited","Kowloon, Hong Kong","","People's Republic of China"
"Hawk Aviation LA LLC","Sunrise","FL","UNITED STATES"
"Hayward and Green Aviation Ltd","Woodmancote, West Sussex","","UNITED KINGDOM"
"Head Aero LLC","Medley","Fl","UNITED STATES"
"HECLAU REP INTERNATIONAL LLC","COCONUT CREEK","FL","United States"
"Heico Aerospace Corp.","Hollywood","FL","UNITED STATES"
"Heico Aerospace Corp. - Air Cost Control","L'Isle-Jourdain","","FRANCE"
"Heico Aerospace Corp. - Air Cost Control, USA LLC","Sunrise","FL","UNITED STATES"
"Heico Aerospace Corp. - Jet Avion Corp.","Hollywood","FL","UNITED STATES"
"Heico Aerospace Corp. - Prime Air (IL)","Skokie","IL","UNITED STATES"
"Heico Aerospace Corp. - Seal Dynamics, LLC","Hauppauge","NY","UNITED STATES"
"Heico Aerospace Corp. - Seal Dynamics, LLC","Basingstoke, Hampshire","","UNITED KINGDOM"
"Heico Aerospace Corp. - Turbine Kinetics","Glastonbury","CT","UNITED STATES"
"HELENA EAST SUPPORT SOLUTIONS PTE. LTD.","SINGAPORE","","Singapore"
"HENGQIN WINGLET AIRCRAFT TECHNOLOGY COMPANY LTD","Huadu District, Guangzhou","","PEOPLE'S REPUBLIC OF CHINA"
"High Class Aero Inc","Miami","FL","United States"
"High-Ray Technology&Science Co.,Limited","Hong Kong","","China"
"HORIZON MECHANICS L.L.C-FZ","Dubai","","UNITED ARAB EMIRATES"
"Howmet Fastening Systems Aichach GmbH","Aichach","","GERMANY"
"HPS Concord Ltd","Port Louis","","Mauritius"
"HuaAn Aviation Parts Co. Ltd.","ShunYi, Beijing","","CHINA"
"Hurricane Aerospace Solutions","Pompano Beach","FL","UNITED STATES"
"HYDRAULIC MACHINE SERVICE (HMS)","Ft. Lauderdale","FL","United States"
"I WINGS AVIATION LTD","London","","United Kingdom"
"IBC Airways","Fort Lauderdale","FL","UNITED STATES"
"IC Components Limited","HONG KONG","","China"
"IES Group, Inc.","Margate","FL","UNITED STATES"
"IGI Aircraft Spare Parts & Components Trading LLC","Dubai","","United Arab Emirates"
"ILN Technologies, Inc.","Canoga Park","CA","UNITED STATES"
"IMPEX NINE INC","Naperville","IL","United States"
"ImportExport Aviation","Houston","TX","UNITED STATES"
"INAV LLC","Crystal Lake","IL","UNITED STATES"
"INDO AERO SUPPORT PTE. LTD","","","SINGAPORE"
"Infinity Air, Inc.","Tarzana","CA","UNITED STATES"
"Initial Aviation","Mirable","QC","CANADA"
"Integrity Sky Technology Co., Ltd","Xi Xian New Area","","China"
"Interaero, Inc.","Westlake Village","CA","UNITED STATES"
"Interlinked Group International","Dubai","","UNITED ARAB EMIRATES"
"International Air Parts (IAP)","Warriewood","","AUSTRALIA"
"International Aircraft Associates, Inc.","Miramar","FL","UNITED STATES"
"International Aviation, LLC","Overland Park","KS","United States"
"International Equipment & Supply, Inc.","Miami","FL","UNITED STATES"
"International Synergy for Technical Services LLC","Orlando","FL","UNITED STATES"
"Intertrade Limited, A Collins Aerospace Company","Cedar Rapids","IA","UNITED STATES"
"Inventory Locator Service, LLC (ILS)","Memphis","TN","UNITED STATES"
"IPD AEROSPACE, INC.","NORTH HOLLYWOOD","CA","United States"
"IQ Aviation Ltd","London","","United Kingdom"
"ITS","Chandler","AZ","UNITED STATES"
"iWings Aviation FZE","Umm Al Quwain","","United Arab Emirates"
"Izdihar & Taqaddum Aircrafts Services","Amman","","JORDAN"
"J & K Connectors","Kent","WA","UNITED STATES"
"J and M Aircraft","North Hollywood","CA","UNITED STATES"
"J.O.Y. Electronics Group Inc. dba JA-Supply","Whiting","NJ","United States"
"J1 Aero LLC","Anchorage","AK","UNITED STATES"
"J2 Sourcing Limited","Uckfield","","United Kingdom"
"Jackson Jet Center","Boise","ID","UNITED STATES"
"Jad Aerospace LLC","Sheridan","WY","UNITED STATES"
"Jaguar Aviation Industries, Corp.","Fort Lauderdale","FL","UNITED STATES"
"JAK ELECTRONICS LIMITED","Hong Kong","","Hong Kong"
"JALUX AMERICAS, Inc.","El Segundo","CA","UNITED STATES"
"Jamaica Aerospace Company","Miramar","FL","UNITED STATES"
"JD Rotables, Inc.","Loxahatchee","FL","United States"
"Jet International Company, LLC","Northbrook","IL","UNITED STATES"
"Jet Midwest, Inc.","Kansas City","MO","UNITED STATES"
"Jet Parts Engineering, LLC","Seattle","WA","UNITED STATES"
"JET PARTS GLOBAL","Queen Creek","AZ","UNITED STATES"
"Jet Trade Aerospace 2014 Ltd","Ness Ziona","","Israel"
"Jet-Air West","Conroe","TX","UNITED STATES"
"Jetline Aviation (Shanghai) Co,. Ltd","Shanghai","","PEOPLE'S REPUBLIC OF CHINA"
"JETPARTSPRO","Dubai","Du","United Arab Emirates"
"Jetpower, LLC","Gurnee","IL","UNITED STATES"
"Jetset Aerospace, Inc.","Saint-Laurent","QC","Canada"
"Jetstream Trading Co. DBA Accel Aerospace","El Monte","CA","UNITED STATES"
"Jinan Lighthouse Aviation Technology Co., Ltd","Jinan City","","China"
"JLRF Aviation and Business Services, LLC","Hialeah","FL","UNITED STATES"
"JMR Aero Solutions PTE,. LTD","Singapore","","Singapore"
"JOLI Aviation LLC","ANAHEIM","CA","UNITED STATES"
"JSSI Parts & Leasing","Chicago","IL","United States"
"JT Aerospace, LLC","Chatsworth","CA","UNITED STATES"
"Jungle Aviation","Anycity","","Netherlands"
"JustAir Limited","Henfield","","United Kingdom"
"Karma Aero Solutions","Coppell","TX","United States"
"Kell-Air Inc.","Plantation","FL","United States"
"Kellstrom Commercial Aerospace, Inc. dba Kellstrom Aerospace","Roselle","IL","UNITED STATES"
"Khaya Aviation Services","Kempton Park, Gauteng","","SOUTH AFRICA"
"Kiepura Aviation Corporation","Littleton","NH","UNITED STATES"
"Koncentra USA Corp","Miami","FL","UNITED STATES"
"KP Aviation, LLC","Mesa","AZ","UNITED STATES"
"KSD GLOBAL AVIATION FZCO","DUBAI","Se","United Arab Emirates"
"L.J. Walch Co., Inc.","Livermore","CA","UNITED STATES"
"Landing Gear Support Services  Pte. Ltd. (LGSS)","Eagan","MN","UNITED STATES"
"LC Aviation","Mississauga","ON","CANADA"
"LCLX Aviation Limited","Horsham","","United Kingdom"
"Leeds Aerospace Aircraft Spare Parts Trading DWC LLC","DUBAI SOUTH","DU","UNITED ARAB EMIRATES"
"Leki Aviation A/S","Kastrup","","DENMARK"
"Leki Aviation Pte Ltd.","","","SINGAPORE"
"Leki Aviation UK Ltd.","Tangmere, Chichester","","UNITED KINGDOM"
"Leki Aviation USA, Inc.","Sunrise","FL","UNITED STATES"
"LETOILE FOR TECHNICAL SERVICES LLC","Abudhabi","","United Arab Emirates"
"Level Aircraft Parts LLC","Weston","FL","United States of America"
"LICHANGYU (HK) COMPANY LIMITED","New Territories","","Hong Kong"
"LIFE SHIELD","Riyadh","","Saudi Arabia"
"LIGERA AEROSPACE FZC","Umm Al Quwain","","United Arab Emirates"
"LJS Aviation Ltd","Washington, West Sussex","","United Kingdom"
"LKD Aerospace","Snoqualmie","WA","UNITED STATES"
"Logix Aero Ireland Limited","Ardee","Co","Ireland"
"LP AEROTEK CO., LTD","Tianjin","","CHINA"
"LTB Aerospace LLC","Miami Lakes","FL","UNITED STATES"
"Lucky 7 Air Aero-Tech Co., Ltd","Guangzhou City","_","CHINA"
"LXA Aviation Leasing 3 Limited","Ardee","_","IRELAND"
"M & N Aviation Materials Pte Ltd","Singapore","","SINGAPORE"
"M S Trade International","Dhaka","","Bangladesh"
"Mach 2 Corp","Pompano Beach","FL","UNITED STATES"
"Madison Aerospace, Inc.","Haltom City","TX","UNITED STATES"
"MAG Aircraft Recycling (Hefei) Co., Ltd.","Hefei","","China"
"Magellan Aviation Group-Magellan Aircraft Services LLLP","Charlotte","NC","UNITED STATES"
"Magellan Aviation Group-Magellan Aviation Services Limited","Shannon, Co Clare","","IRELAND"
"Magnum AirDynamics, Inc.","Miami Lakes","FL","UNITED STATES"
"MALLARD AERO SOLUTIONS","NORTH CAROLINA","NC","United States"
"Marcel Havacilik ve Uçak Bakim Hizmetleri Ltd. Sti.","Istanbul","Se","Turkey"
"March Aviation, Inc.","Naples","FL","UNITED STATES"
"Marrade Enterprise, LLC, FZ","Dubai","","United Arab Emirates"
"Mash Aerospace, LLC","Fort Pierce","FL","UNITED STATES"
"Mats Corp Miracle Aviation Technical Services Corp","Houston","TX","United States"
"Mattis Aerospace","Indian Land","SC","UNITED STATES"
"Mav Aerospace LLC","Ft Lauderdale","FL","United States"
"Max Jet Service LLC","Hincesti","","Moldova, Republic Of"
"MBAD GLOBAL SERVICES CO., LTD","Ho Chi Minh","Se","Viet Nam"
"Med-Air, Inc.","Miami","FL","United States"
"Meems DXB","Dubai","Se","United Arab Emirates"
"MEL Aviation Components Ltd","Crawley","","United Kingdom"
"Memphis Aerospace","Memphis","TN","UNITED STATES"
"Mer Bleue Aviation Ltd.","Ottawa","","Canada"
"Mercury Trading Company","Scottsdale","AZ","UNITED STATES"
"Meridian Aero Parts Corp","Delta","BC","CANADA"
"Metro Parts, Inc.","Fort Worth","TX","UNITED STATES"
"Mevaero","Antalya","","Turkey"
"MGT Europe","SAINT BRIAC SUR MER","","FRANCE"
"MidAmerican Aerospace, Ltd.","Cedar Rapids","IA","UNITED STATES"
"Midas Aviation Services Inc.","Pompano Beach","FL","United States"
"MIDDLE EAST AERO SUPPLIES FZE","UMM AL QUWAIN","UM","United Arab Emirates"
"Midnight Engineering LLC","Miramar","FL","United States"
"Millennium International","Lee's Summit","MO","United States"
"Ming Deng","Saugnacq et Muret","Se","France"
"Mir Global Lojistik A.S.","Istanbul","","Turkey"
"Mirage Aeroservices","Al Manamh","","BAHRAIN"
"Mitchell Aircraft, LLC","Cary","IL","UNITED STATES"
"Modern Horizon Keys Trading Co. (MHK)","Riyadh","","SAUDI ARABIA"
"Moog Inc.","Miramar","FL","United States"
"MRO Support, Inc.","Boca Raton","FL","UNITED STATES"
"MT Airwings FZC-LLC","Sharjah","","United Arab Emirates"
"MTU Maintenance Lease Services B.V.","Amsterdam","","NETHERLANDS"
"Multi-Pacific International, Inc.","Chino","CA","UNITED STATES"
"Nanotech Aviation Limited","Datchet, Berks","","UNITED KINGDOM"
"Nantong Lingkong Aviation Equipment Co., Ltd","Nantong City, Jiangsu Province","","China"
"National Aerospace Group","Vero Beach","FL","UNITED STATES"
"Ndt Solutions Limited","Nairobi","Se","Kenya"
"Nelson Parts, LLC","Deerfield Beach","FL","United States"
"NEW ERA GLOBAL HOLDINGS LIMITED","HONG KONG","Se","Hong Kong"
"New India Motors (New Delhi) Pvt Ltd - dba -  Belair Aero","New Delhi","","India"
"Newjet Aero Systems","Newark","NJ","UNITED STATES"
"NexGen Aero, LLC","Doral","FL","UNITED STATES"
"NEXT LEVEL AVIATION - IRELAND LTD","Rathcoole, Co Dublin","","IRELAND"
"NM AERO LLC","MIAMI","FL","United States"
"Norcross Air, Inc.","Dover","NH","UNITED STATES"
"Nordair USA, Inc.","Orlando","FL","UNITED STATES"
"Normal Aero FZCo","Dubai","","United Arab Emirates"
"North American Aerospace Industries Corp","Greenville","NC","United States"
"North Ventures Inc.","Minneapolis","MN","UNITED STATES"
"Northwest Aerospace, Inc.","Newcastle","WA","United States"
"Nottingham for Aviation","Amman","","JORDAN"
"NOVAX Group S.A.","Pozos de Santa Ana","Sa","COSTA RICA"
"NTE Aviation, LLC","Lewisville","TX","UNITED STATES"
"OA AVIATION & LOGISTICS PTY LTD","Kempton Park","","South Africa"
"Ocean Air, Inc.","Miramar","FL","UNITED STATES"
"ODS Aerospace","New Delhi","","INDIA"
"OH Capital Assets, Inc.","Mint Hill","NC","UNITED STATES"
"Olympic Aerospace, Inc.","Federal Way","WA","United States"
"OMA Global Company","Baghdad","Se","Iraq"
"Omnia Sales Inc.","Burbank","CA","United States"
"OMS Aero Group Inc.","ISTANBUL","Be","Turkey"
"ON POINT AVIATION PARTS & SERVICES LLC","MIAMI","FL","United States"
"OnAV, LLC","Chandler","AZ","United States"
"Optron Solutions Ltd.","Belize","","Belize"
"Orange Aero Limited","Thame, Oxfordshire","","UNITED KINGDOM"
"ORBITER AVIATION LTD","LONDON","Se","United Kingdom"
"Overseas Aircraft Parts, Inc.","Deerfield Beach","FL","UNITED STATES"
"Owl Aerospace, Inc.","Hollywood","FL","UNITED STATES"
"OWR CO., LTD","Guangzhou, Guangdong","_","PEOPLE'S REPUBLIC OF CHINA"
"OWR CO., LTD","Guangzhou","","PEOPLE'S REPUBLIC OF CHINA"
"OXYGEN AEROSPACE FZC","SHARJAH","UA","United Arab Emirates"
"P&R Aerospace Solution Corp.","Miami","FL","UNITED STATES"
"Pacific Aero Tech, LLC","Kent","WA","United States"
"Pacific Air Industries","Chatsworth","CA","UNITED STATES"
"Pacific Turbine Brisbane (PTB)","Pinkenba","","AUSTRALIA"
"Pacific Turbine USA","Miami","FL","UNITED STATES"
"Pal aviation OÜ","Tallinn","Se","Estonia"
"PAM TECHNIK BV","Voorhout","","Netherlands"
"Par Avion LLC","Scottsdale","AZ","UNITED STATES"
"Partium Elite B. V.","Nieu-Vennep","","Netherlands"
"Parts & Spares Int'l","Phoenix","AZ","UNITED STATES"
"Parts To Fly LLC","Davie","FL",""
"PartsBase, Inc.","Boca Raton","FL","UNITED STATES"
"PASLA SERVICES PTE LTD","UBI TECHPARK","","Singapore"
"Patrick V. Gough Co. Inc.","Signal Hill","CA","United States"
"Paulman International Ltd.","Isleworth, Middlesex","","UNITED KINGDOM"
"PDQ Airspares (USA)","Commerce","CA","UNITED STATES"
"PDQ Airspares Ltd.","Hampshire","","UNITED KINGDOM"
"PDQ Airspares Poland Sp. Zo.o.","Nadarzyn","","POLAND"
"PDQ Airspares PTE Ltd","Singapore","","SINGAPORE"
"PDQ China","Guangdong","","CHINA"
"Pentagon 2000 Software, Inc.","New York","NY","UNITED STATES"
"Phoenix Aero Space Aviation Spare Parts Trading L.L.C","Dubai","","United Arab Emirates"
"Phoenix Aviation FZ-LLC","Ras Al Khaima","","United Arab Emirates"
"Pinair Tech Corp.","New York","NY","UNITED STATES"
"Pioneer Aero Supply","Chicago","IL","UNITED STATES"
"Planestocks LLC","Deerfield Beach","FL","UNITED STATES"
"Powerjet Parts, Inc.","Las Vegas","NV","UNITED STATES"
"Powerturbine, Inc.","Mira Loma","CA","UNITED STATES"
"PR (HK) International Enterprise Limited","Kowloon","","HONG KONG"
"Pratt & Whitney Commercial Serviceable Assets","Dallas","TX","UNITED STATES"
"Pratt & Whitney Component Solutions","Muskegon","MI","UNITED STATES"
"Precision Aero Sourcing LLC","Stillwater","MN","United States"
"Precision Aero Technology, Inc.","Long Beach","CA","UNITED STATES"
"Preferred Aviation, Inc.","Doral","FL","UNITED STATES"
"Preneet Holdings Inc","Irving","TX","United States"
"Prestige Aero Solutions, Inc.","Eastvale","CA",""
"Prime Air (A HEICO Aerospace Company)","Miami","FL","UNITED STATES"
"PRIVE AERO INC.","Istanbul","","Turkey"
"Pro Aerospace Services Ltd","Birmingham","","UNITED KINGDOM"
"Pro-Tech Enterprises LLC","Milford","CT","UNITED STATES"
"Professional Aviation Associates, Inc.","Forest Park","GA","United States"
"Professional Aviation Support, Corp.","Miami","FL","UNITED STATES"
"PROLINK Aviation Co.","Riyadh","","Saudi Arabia"
"Pronto Distribution, Inc.","Holly Hill","FL","UNITED STATES"
"Proserv Aviation Holdings LLC","Oak Creek","WI","United States"
"Provide Power Tr.","Dubai","Bu","United Arab Emirates"
"PRUDENT INNOVATION SERVICES PTE LTD","SINGAPORE","","Singapore"
"PSS Aviation / Poorvi Sales And Services Pvt Ltd","New Delhi-110059","","India"
"PTB Group","Pinkenba","","AUSTRALIA"
"PTS Aviation LLC","Miramar","FL","UNITED STATES"
"PTX Defense LLC","Acworth","GA","UNITED STATES"
"Q-Enterprise Aviation Inc.","Liberty Township","OH","UNITED STATES"
"QGA AIRCRAFT ENGINEERING INC","ALHAMBRA","CA","UNITED STATES"
"Quest Aviation, Inc.","Lake City","FL","United States"
"Quick Ship Global","Columbus","OH","United States"
"QuickChems Ltd","London","","United Kingdom"
"QuickSpares FZCO","Dubai","","UNITED ARAB EMIRATES"
"Raksa Global Pte Ltd","Singapore","Se","Singapore"
"Ram Aviation Ltd","St Peter","","United Kingdom"
"Ranger Air Aviation LLC","Lewisville","TX","UNITED STATES"
"Raven One Aerospace","Miami","FL","United States"
"Rawat Al-Burouj Aviation/Nottingham for Aviation","Baghdad","","IRAQ"
"RBK Services & Supplies BV","Schiphol","","NETHERLANDS"
"REAL TURBINE ENGINE CONSULTANT ENTERPRISE SDN. BHD.","Skudai","","Malaysia"
"Rebound Electronics UK Ltd","Newbury","Se","United Kingdom"
"Red Hare Aerospace","Arcadia","CA","UNITED STATES"
"Red Sun Aviation PTE LTD","Singapore","","Singapore"
"ReGEN Aviation Limited","Dublin","","Ireland"
"Regional Airline Support Group","Coral Springs","FL","UNITED STATES"
"Regional One Inc.","Miami","FL","UNITED STATES"
"REKA GLOBAL GRUP DANISMANLIK VE TICARET LIMITED SIRKETI","Ankara","","Turkey"
"Reliance Aircraft International, LLC","Austin","TX","UNITED STATES"
"Revolution Aircraft Services, LLC","Pompano Beach","FL","UNITED STATES"
"RIM Enterprises, LLC","Marion","IA","UNITED STATES"
"RO Aviation LTD","Crawley","","United Kingdom"
"RockDove Aviation FZ-LLC","RAS AL KHAIMAH","","United Arab Emirates"
"Rolls-Royce & Partners Finance (Parts Trading)","London","","UNITED KINGDOM"
"ROSE Aerospace, LLC","Prosper","TX","United States"
"Rosy Dawn Aviation","Dubai","","United Arab Emirates"
"Royal Aero GmbH","Miesbach","","GERMANY"
"Royal Aviation LLC","Doral","FL","UNITED STATES"
"ROYAL CRAFT AVIATION","MUSCUT GOVERNORATE","Se","Oman"
"S.O.I. Aviation","Calabasas","CA","UNITED STATES"
"SAFARI AVIATION SERVICES","Sharjah","AE","UNITED ARAB EMIRATES"
"SaHa Aviation Services","Dorset","","United Kingdom"
"SAM EXPORT CORP","DORAL","FL","United States"
"Sand Hill Aerospace, LLC","Los Altos","CA","UNITED STATES"
"Satair an Airbus Services Company","Kastrup","","DENMARK"
"SC Technology Co., LTD","Xiamen, Fujian Province","","CHINA"
"Seattle Aviation Solutions LLC","Tukwila","WA","United States"
"SECURE AEROTECH PVT. LTD.","NEW DELHI","","India"
"Sentinel Aerospace, LLC","Chandler","AZ","UNITED STATES"
"Sentry Aerospares LLC","Morganville","NJ","United States"
"Sentry Aerospares Ltd.","Watford, Hertfordshire","","UNITED KINGDOM"
"SETEC AERO LLC","Miami","FL","United States"
"Shanghai Jieritong Aviation Technology Co., LTD","Shanghai","","PEOPLE'S REPUBLIC OF CHINA"
"Shenzhen e-Aero Technology Co., Ltd.","Shenzen","","CHINA"
"Shenzhen Rochester Semiconductor Co., Ltd","shenzhen","Se","China"
"Shey Systems, Inc.","Hiawatha","IA","UNITED STATES"
"SHIV CHANDRA AIRPARTS AND SERVICES PVT LTD","MUMBAI","","India"
"SHREEGEE PRIVATE LIMITED","MEERUT","Se","India"
"Siam Aero Repair Co,. Ltd.","Bangkok","","Thailand"
"Sigma Aviation Group, LLC","Ft Lauderdale","FL","United States"
"Signal Aerospares","Cromwell","CT","United States"
"Silver Wings Aerospace, Inc.","Princeton","FL","UNITED STATES"
"SimpleQuE Inc.","Rockledge","FL","UNITED STATES"
"Simulator Components, Inc.","Roseville","MN","UNITED STATES"
"Simzation B.V.","Waarland","","NETHERLANDS"
"Sino-American Aviation, Inc.","Ontario","CA","UNITED STATES"
"SKG Trading Corp","Katy","TX","United States"
"Sky Aero Solutions LLC","Sharjah","Se","United Arab Emirates"
"SKY AERO SQUAD FZ-LLC","RAS AL KHAIMAH","","United Arab Emirates"
"Sky Dynamics Solutions LLC","SACRAMENTO","CA","United States"
"Sky Fly srl","Napoli","Se","Italy"
"Sky Global Support LLC","Hialeah Gardens","FL","United States"
"Sky Source, Inc","Hialeah","FL","UNITED STATES"
"Sky Tech Trading","Dubai","","United Arab Emirates"
"Sky Trade Support, Inc.","Doral","FL","United States"
"SkyCraft ProSolutions FZE","Umm Al Quwain","","United Arab Emirates"
"SKYH AIRCRAFT COMPONENTS TRADING-FZCO","Dubai","","United Arab Emirates"
"Skyland Aviation Ltd","Sofia","","Bulgaria"
"Skyline Aero Limited","Cirencester","","United Kingdom"
"SkyLink Aircraft Spare Parts LLC","Dubai","Du","United Arab Emirates"
"Skytop Aerospace Management LLC DBA Skytop Aero","Boca Raton","FL","United States"
"Skytower Aviation Services, Inc.","Santa Ana","CA","UNITED STATES"
"SkyWay Aerospace International Limited","HONGKONG","HO","China"
"Skyways Technics","Selangor","","MALAYSIA"
"Skywell Parts, Inc.","Hong Kong","","HONG KONG"
"Skywin Aero Parts Pte Ltd","Singapore","","Singapore"
"SOCIETE AHE Inc. France","St André de Sangonis","","FRANCE"
"Soho Aero","ANKARA","","Turkey"
"SonCoast Procurement LLC","Kissimmee","FL","United States"
"Sonic Aircraft Components, LLC","Pinecrest","FL","UNITED STATES"
"Sound Aviation Corporation","Rockwood","TN","UNITED STATES"
"South Seas Aviation, Inc.","Sunrise","FL","UNITED STATES"
"Southern Cross Aviation, LLC","Fort Lauderdale","FL","UNITED STATES"
"Southern Trunk Aviation FZCO","Dubai",".","United Arab Emirates"
"Southwest Airlines Co.","Dallas","TX","UNITED STATES"
"Spaero Ltd","Peterborough","","UNITED KINGDOM"
"Spare Jet Aero Ltd.","Sofia","","Bulgaria"
"SPARK AVIATION","MUMBAI","Se","India"
"Sparrow Aviation Group, LLC.","Lexington","VA","United States"
"SPEAR AVIATION FZ LLC","Dubai","","United Arab Emirates"
"Specialist Aviation Ltd.","Letchworth","_","UNITED KINGDOM"
"Speed Aerospace Pte Ltd","","","SINGAPORE"
"Springfall International FZE","Dubai","","UNITED ARAB EMIRATES"
"Sprint Aerotech Co., Ltd","Bangkok","","Thailand"
"Stap Industries, Inc.","Louisville","KY","UNITED STATES"
"Starlight Airlines","Sharjah","_","UNITED ARAB EMIRATES"
"Start Aviation LLC","Pompano Beach","FL","United States"
"Steadfast Aerospace","Davie","FL","United States"
"Stealth Aerospace","Commerce","CA","UNITED STATES"
"Sterling Logistics Solutions","Washington","PA","United States"
"Steven Enterprises Group, Inc.","Miami","FL","UNITED STATES"
"Stone Aviation International. LLC","Clearwater Beach","FL","United States"
"Stop-Over Solutions Ltd.","London","","United Kingdom"
"STRADE Ltd.","Kloten","_","SWITZERLAND"
"Stratton Aviation LLC","Winooski","VT","UNITED STATES"
"Stratus Aero Partners","Eagan","MN","United States"
"STS Component Solutions, LLC","Palm City","FL","UNITED STATES"
"STS DISTRIBUTION SOLUTIONS DBA STS AIR-PRO","Palm City","FL","United States"
"Sunelenus, DBA as Avionictech","Miami","FL","UNITED STATES"
"Superior Aviation Supplies LLC","Palmetto","FL",""
"Support Air, Inc.","Miamisburg","OH","UNITED STATES"
"SUREWINGS EXPERTS FZ LLC","ABU DHABI","Se","United Arab Emirates"
"SW Support LLC","Rosemont","IL","UNITED STATES"
"SwissTeknik, LLC","Tempe","AZ","UNITED STATES"
"T C AEROSPACE PTE LTD","SINGAPORE","","SINGAPORE"
"T&T AVIATION SERVICES PTE LTD","SINGAPORE","","Singapore"
"T-Load USA LLC","New York","NY","UNITED STATES"
"Tahoe Aero LLC","Stateline","NV","UNITED STATES"
"Talon Air Partners LLC","Fort Lauderdale","FL","United States"
"Tanyel Enterprises, LLC","Spartanburg","SC","UNITED STATES"
"Target Aero Engines LLC","Las Vegas","NV","United States"
"Tariq Al Jabal Aircraft Spares Part and Components Trading,","Dubai","Se","United Arab Emirates"
"TAY AVIATION LLC (TAY HAVACILIK SAN. VE TIC. LTD. STI.)","Istanbul","","Turkey"
"TC Material LLC","Tampa","FL","United States"
"TCAS AERO","Amman","","Jordan"
